city,year,weekofyear,total_cases
sj,2008,18,25
sj,2008,19,23
sj,2008,20,20
sj,2008,21,29
sj,2008,22,32
sj,2008,23,37
sj,2008,24,28
sj,2008,25,34
sj,2008,26,38
sj,2008,27,40
sj,2008,28,45
sj,2008,29,46
sj,2008,30,46
sj,2008,31,51
sj,2008,32,48
sj,2008,33,53
sj,2008,34,39
sj,2008,35,44
sj,2008,36,61
sj,2008,37,53
sj,2008,38,52
sj,2008,39,37
sj,2008,40,29
sj,2008,41,44
sj,2008,42,39
sj,2008,43,36
sj,2008,44,39
sj,2008,45,39
sj,2008,46,33
sj,2008,47,36
sj,2008,48,32
sj,2008,49,26
sj,2008,50,24
sj,2008,51,26
sj,2008,52,13
sj,2009,1,13
sj,2009,2,11
sj,2009,3,26
sj,2009,4,22
sj,2009,5,22
sj,2009,6,17
sj,2009,7,20
sj,2009,8,23
sj,2009,9,14
sj,2009,10,22
sj,2009,11,20
sj,2009,12,16
sj,2009,13,16
sj,2009,14,12
sj,2009,15,20
sj,2009,16,20
sj,2009,17,22
sj,2009,18,25
sj,2009,19,16
sj,2009,20,27
sj,2009,21,21
sj,2009,22,28
sj,2009,23,31
sj,2009,24,35
sj,2009,25,44
sj,2009,26,40
sj,2009,27,34
sj,2009,28,43
sj,2009,29,47
sj,2009,30,39
sj,2009,31,40
sj,2009,32,55
sj,2009,33,51
sj,2009,34,55
sj,2009,35,52
sj,2009,36,54
sj,2009,37,31
sj,2009,38,47
sj,2009,39,51
sj,2009,40,54
sj,2009,41,58
sj,2009,42,54
sj,2009,43,49
sj,2009,44,48
sj,2009,45,48
sj,2009,46,32
sj,2009,47,36
sj,2009,48,38
sj,2009,49,35
sj,2009,50,39
sj,2009,51,35
sj,2009,52,32
sj,2010,53,32
sj,2010,1,22
sj,2010,2,23
sj,2010,3,20
sj,2010,4,24
sj,2010,5,21
sj,2010,6,20
sj,2010,7,22
sj,2010,8,26
sj,2010,9,33
sj,2010,10,10
sj,2010,11,16
sj,2010,12,22
sj,2010,13,35
sj,2010,14,28
sj,2010,15,17
sj,2010,16,32
sj,2010,17,40
sj,2010,18,37
sj,2010,19,32
sj,2010,20,41
sj,2010,21,42
sj,2010,22,45
sj,2010,23,57
sj,2010,24,54
sj,2010,25,39
sj,2010,26,48
sj,2010,27,50
sj,2010,28,47
sj,2010,29,46
sj,2010,30,42
sj,2010,31,48
sj,2010,32,61
sj,2010,33,51
sj,2010,34,47
sj,2010,35,51
sj,2010,36,69
sj,2010,37,54
sj,2010,38,62
sj,2010,39,48
sj,2010,40,59
sj,2010,41,59
sj,2010,42,42
sj,2010,43,47
sj,2010,44,36
sj,2010,45,36
sj,2010,46,26
sj,2010,47,26
sj,2010,48,21
sj,2010,49,15
sj,2010,50,24
sj,2010,51,22
sj,2011,52,23
sj,2011,1,17
sj,2011,2,26
sj,2011,3,26
sj,2011,4,23
sj,2011,5,21
sj,2011,6,19
sj,2011,7,22
sj,2011,8,17
sj,2011,9,17
sj,2011,10,16
sj,2011,11,14
sj,2011,12,13
sj,2011,13,13
sj,2011,14,23
sj,2011,15,24
sj,2011,16,21
sj,2011,17,24
sj,2011,18,27
sj,2011,19,24
sj,2011,20,15
sj,2011,21,19
sj,2011,22,34
sj,2011,23,26
sj,2011,24,36
sj,2011,25,48
sj,2011,26,50
sj,2011,27,40
sj,2011,28,38
sj,2011,29,48
sj,2011,30,54
sj,2011,31,42
sj,2011,32,34
sj,2011,33,50
sj,2011,34,44
sj,2011,35,52
sj,2011,36,60
sj,2011,37,73
sj,2011,38,40
sj,2011,39,52
sj,2011,40,54
sj,2011,41,53
sj,2011,42,47
sj,2011,43,40
sj,2011,44,36
sj,2011,45,46
sj,2011,46,41
sj,2011,47,28
sj,2011,48,26
sj,2011,49,27
sj,2011,50,31
sj,2011,51,24
sj,2012,52,26
sj,2012,1,28
sj,2012,2,22
sj,2012,3,26
sj,2012,4,14
sj,2012,5,18
sj,2012,6,18
sj,2012,7,24
sj,2012,8,15
sj,2012,9,20
sj,2012,10,15
sj,2012,11,18
sj,2012,12,18
sj,2012,13,16
sj,2012,14,17
sj,2012,15,29
sj,2012,16,22
sj,2012,17,19
sj,2012,18,31
sj,2012,19,23
sj,2012,20,32
sj,2012,21,28
sj,2012,22,31
sj,2012,23,39
sj,2012,24,35
sj,2012,25,53
sj,2012,26,53
sj,2012,27,46
sj,2012,28,39
sj,2012,29,47
sj,2012,30,45
sj,2012,31,47
sj,2012,32,49
sj,2012,33,55
sj,2012,34,58
sj,2012,35,39
sj,2012,36,53
sj,2012,37,49
sj,2012,38,57
sj,2012,39,62
sj,2012,40,57
sj,2012,41,49
sj,2012,42,53
sj,2012,43,54
sj,2012,44,57
sj,2012,45,60
sj,2012,46,39
sj,2012,47,45
sj,2012,48,33
sj,2012,49,29
sj,2012,50,28
sj,2012,51,22
sj,2013,1,15
sj,2013,2,25
sj,2013,3,15
sj,2013,4,18
sj,2013,5,21
sj,2013,6,17
sj,2013,7,20
sj,2013,8,22
sj,2013,9,22
sj,2013,10,21
sj,2013,11,18
sj,2013,12,17
sj,2013,13,23
sj,2013,14,22
sj,2013,15,29
sj,2013,16,27
sj,2013,17,21
iq,2010,26,9
iq,2010,27,5
iq,2010,28,7
iq,2010,29,1
iq,2010,30,2
iq,2010,31,7
iq,2010,32,7
iq,2010,33,8
iq,2010,34,7
iq,2010,35,11
iq,2010,36,8
iq,2010,37,9
iq,2010,38,7
iq,2010,39,8
iq,2010,40,15
iq,2010,41,7
